Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3,H2O::Cell_1::Mitochondria_4,H2O_created::Cell_1::Mitochondria_4,OH-::Cell_1::Mitochondria_4,H+::Cell_1::Mitochondria_4,H+_inter::Cell_1::Mitochondria_4,H+_inter_created::Cell_1::Mitochondria_4,O2::Cell_1::Mitochondria_4,O2_in::Cell_1::Mitochondria_4,CO2::Cell_1::Mitochondria_4,ATP::Cell_1::Mitochondria_4,ATP_created::Cell_1::Mitochondria_4,ADP::Cell_1::Mitochondria_4,GDP::Cell_1::Mitochondria_4,GTP::Cell_1::Mitochondria_4,Pi::Cell_1::Mitochondria_4,NAD+::Cell_1::Mitochondria_4,NADH::Cell_1::Mitochondria_4,NADH_created::Cell_1::Mitochondria_4,NADH_in::Cell_1::Mitochondria_4,Pyruvate-::Cell_1::Mitochondria_4,Pyruvate-_in::Cell_1::Mitochondria_4,CoA-SH::Cell_1::Mitochondria_4,Acetyl_CoA::Cell_1::Mitochondria_4,FAD::Cell_1::Mitochondria_4,FADH2::Cell_1::Mitochondria_4,FADH2_created::Cell_1::Mitochondria_4,Pyruvate_transport::Cell_1::Mitochondria_4,ATP_synthase::Cell_1::Mitochondria_4,ADP_ATP_transport::Cell_1::Mitochondria_4,NADH_shuttle::Cell_1::Mitochondria_4,Pi_transport::Cell_1::Mitochondria_4,Commp1-3-4::Cell_1::Mitochondria_4,Commp2-3-4::Cell_1::Mitochondria_4
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999989096213,10004550,10004550,0,0,2000,0,0,0,9999000763,10000999237,10000999237,10000000000,0,0,99999900773,0,100227,100227,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900252,0,100748,100748,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999901534,0,99466,99466,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899575,0,101425,101425,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1895020,1239756,20000000,120000000,20000,120000,9998982222305,88821954,110714850,1670,18104980,2000,11240,3804276,36206620,9357890659,10642109341,10865231641,9981951844,18048156,40464,100014251535,46575900,160646,14258019,124400,402478200,9985300,29318200,24254620,20867226,84627600,979132774,999998153,1847,1423670327,993863107,6136893,32339493,4553100,6,8084880,999999999,1,999825227,174773,8084873,1000,1000,1000,1000,1000,1000,1000,100014128971,46327200,79461,14440786,46000,400055200,7367589,26580139,24227389,20956550,84388800,979043450,999998294,1706,1422580044,993674955,6325045,32299945,4548100,3,8082280,999990279,9721,999829544,170456,8072556,1000,1000,1000,1000,1000,1000,1000,100014469390,46786100,107156,14029629,147100,404375400,12837546,32262746,24274855,21371284,85084800,978628716,999990666,9334,1423098482,994030627,5969373,32366473,4517600,8581,8100200,999999999,1,999844082,155918,8091618,1000,1000,1000,1000,1000,1000,1000,100014298020,46645500,170340,14205680,98000,403083800,11225869,30587919,24256740,21112066,84833100,978887934,999997486,2514,1423206320,993961180,6038820,32342320,4499200,8940,8094520,1000000000,0,999835820,164180,8085580,1000,1000,1000,1000,1000,1000,1000
3000,2720960,1274294,40000000,240000000,20000,120000,9998111493121,86923772,113838047,1653,37279040,2000,1047,3965101,74554774,8875005793,11124994207,11646332807,9977183279,22816721,132453,100044121603,114462500,145086,21015016,458100,1005105800,10299354,58810654,52756913,63319066,214990200,936680934,999998829,1171,1307471663,996267050,3732950,70342550,12973100,9441,17595080,999999998,2,999854263,145737,17585637,1000,1000,1000,1000,1000,1000,1000,100043948221,114381100,118605,21598997,58700,1004127000,9992372,58452672,52854774,64114046,215469000,935885954,999970188,29812,1304342042,996079168,3920832,70473032,12907900,2,17618260,1000000000,0,999842242,157758,17618258,1000,1000,1000,1000,1000,1000,1000,100044215412,114700000,125103,21210704,167400,1007140000,12046453,60655203,52877986,64289363,215925600,935710637,999990668,9332,1304823605,996382719,3617281,70503981,12848300,9724,17635720,999999999,1,999856505,143495,17625995,1000,1000,1000,1000,1000,1000,1000,100044264608,114536600,47812,21215012,60900,1005716400,12265930,60806130,52778180,63707482,215355000,936292518,999999822,178,1306553640,996380060,3619940,70367840,12876300,9300,17608160,999990800,9200,999866540,133460,17589660,1000,1000,1000,1000,1000,1000,1000
4000,3357940,1258725,60000000,360000000,20000,120000,9997284198281,87637526,116016242,19547,56642060,2000,10,3976990,113245026,8443710507,11556289493,12378966593,9975837290,24162710,239016,100074235130,183193800,109179,29569809,105100,1615047600,11877534,89918784,81739193,106300208,347117400,893699792,999997111,2889,1189441303,997690310,2309690,108985590,22295300,9641,27256040,999999998,2,999864903,135097,27246397,1000,1000,1000,1000,1000,1000,1000,100074151340,182976200,39660,29550795,106200,1612942000,8747808,86684658,81703115,106822689,347365800,893177311,999997889,2111,1186163900,997629985,2370015,108931015,22210200,5,27247320,999980585,19415,999874600,125400,27227900,1000,1000,1000,1000,1000,1000,1000,100074209202,183260700,108944,29015237,608000,1615510200,13677955,91739755,81816055,106806065,347633400,893193935,999998847,1153,1186643782,997764127,2235873,109084873,22137500,1,27278420,999990399,9601,999868282,131718,27268818,1000,1000,1000,1000,1000,1000,1000,100074104781,183023700,108985,29627838,52100,1613446600,12435618,90398068,81712135,106078604,346903200,893921396,999988126,11874,1189048322,997676287,2323713,108949513,22200300,9861,27247240,999999999,1,999861422,138578,27237378,1000,1000,1000,1000,1000,1000,1000
5000,3891470,1233402,80000000,480000000,20000,120000,9996497958249,88486244,117528767,1699,76108530,2000,1064,4053461,152213662,8055116293,11944883707,13073320807,9975362859,24637141,351921,100103632959,251389100,121767,38852918,101700,2219407800,12144640,119433990,110834853,147797505,478111200,852202495,999997847,2153,1070946042,998118689,1881311,147776511,31873100,3,36951540,999990121,9879,999868742,131258,36941658,1000,1000,1000,1000,1000,1000,1000,100103620108,251282200,45390,38750267,145000,2218429200,11056297,118297847,110818603,148382091,478440300,851617909,999980257,19743,1068348566,998089663,1910337,147758137,31836200,5,36939540,999999999,1,999859566,140434,36939534,1000,1000,1000,1000,1000,1000,1000,100103520620,251382000,105415,38931498,52200,2219177600,11138251,118414101,110926668,148132873,478455600,851867127,999997518,2482,1068890045,998097277,1902723,147902223,31721900,2,36975560,999999997,3,999854745,145255,36975555,1000,1000,1000,1000,1000,1000,1000,100103618412,251311700,125448,38747343,106000,2218686600,15365646,122619596,110775275,147543774,477867900,852456226,999998994,1006,1071496620,998213745,1786255,147696955,31793400,9725,36941640,999989765,10235,999882120,117880,36921680,1000,1000,1000,1000,1000,1000,1000
6000,4364390,1249879,100000000,600000000,20000,120000,9995748592428,89483255,118798155,21134,95635610,2000,112625,4031648,191228952,7704352683,12295647317,13729103817,9975183272,24816728,466524,100133015468,319744400,120584,47897710,574100,2824980800,10781567,147374817,140061270,189029557,609006000,810970443,999990141,9859,953345484,998342414,1657586,186745086,41541100,2,46693640,999990178,9822,999874084,125916,46683816,1000,1000,1000,1000,1000,1000,1000,100133114836,319690200,23444,47811324,526600,2824571600,12674333,149248783,140011620,189694649,609405000,810305351,999997609,2391,951101660,998365840,1634160,186682160,41559600,9780,46680320,1000000000,0,999870760,129240,46670540,1000,1000,1000,1000,1000,1000,1000,100132980859,319661400,38053,48334160,50700,2824090800,11713558,148261558,140087351,189371243,609384300,810628757,999997847,2153,951033504,998355153,1644847,186780047,41395400,1,46701960,999990737,9263,999872704,127296,46692696,1000,1000,1000,1000,1000,1000,1000,100132907412,319465900,106169,47826306,544100,2822519000,17278138,153752338,139945404,188299347,608318100,811700653,999980474,19526,954634127,998390623,1609377,186590677,41449600,2,46654860,999990415,9585,999872227,127773,46645273,1000,1000,1000,1000,1000,1000,1000
7000,4789790,1255895,120000000,720000000,20000,120000,9995037071936,86255069,115811514,2889,115210210,2000,113159,4094403,230414642,7387667505,12612332495,14353172195,9975120417,24879583,582459,100162386950,388070400,105073,57947789,124600,3430308800,9142716,175028216,169279977,230391675,740141100,769608325,999998716,1284,835255641,998469164,1530836,225706636,51295800,9821,56436480,1000000000,0,999872741,127259,56426659,1000,1000,1000,1000,1000,1000,1000,100162508906,388099400,31572,57427414,522300,3430627600,14471768,180373568,169264128,231174875,740672700,768825125,999980701,19299,832545626,998512598,1487402,225685502,51309700,9360,56430740,999999994,6,999874426,125574,56421374,1000,1000,1000,1000,1000,1000,1000,100162312967,388174600,115436,57654532,465400,3431050800,14627979,180546829,169410297,230828426,740576100,769171574,999995427,4573,833213401,998465604,1534396,225880396,51154800,1,56470100,1000000000,0,999866801,133199,56470099,1000,1000,1000,1000,1000,1000,1000,100162261203,387801800,103017,57427517,562900,3427878000,16915183,182682333,169171080,229692274,739458000,770307726,999996514,3486,836029740,998513060,1486940,225561440,51192300,10100,56400460,1000000000,0,999877140,122860,56390360,1000,1000,1000,1000,1000,1000,1000
8000,5184210,1266517,140000000,840000000,20000,120000,9994351321717,87357667,117035495,21147,134815790,2000,83,4063042,269589286,7101419884,12898580116,14947031516,9975084058,24915942,698844,100191809679,456495400,16541,67172181,561900,4036365200,8533238,203744138,198596580,271484919,871067100,728515081,999997659,2341,717827340,998490960,1509040,264795440,61061800,9640,66208500,1000000000,0,999874740,125260,66198860,1000,1000,1000,1000,1000,1000,1000,100191743649,456473200,113434,67622631,120600,4036233600,14340312,209545762,198554818,272581506,871917600,727418494,999980267,19733,713966261,998565043,1434957,264739757,61043800,9900,66194840,999999999,1,999877361,122639,66184939,1000,1000,1000,1000,1000,1000,1000,100191889652,456744600,27874,67483247,167400,4038496400,16593792,211906742,198719015,272754478,872335200,727245522,999997620,2380,713704342,998623327,1376673,264955473,60928400,1,66246100,999990359,9641,999882242,117758,66236458,1000,1000,1000,1000,1000,1000,1000,100191761400,456341600,27512,67036158,538800,4035028000,18390208,213536758,198505190,271233164,870811800,728766836,999998668,1332,717970804,998630514,1369486,264673586,60940500,9562,66177960,999999998,2,999880104,119896,66168396,1000,1000,1000,1000,1000,1000,1000
9000,5553880,1253648,160000000,960000000,20000,120000,9993693333309,88022080,117816103,19818,154446120,2000,101,4070719,308852604,6842683889,13157316111,15511122111,9975092921,24907079,816225,100221181606,525003500,24612,77437552,75000,4643168600,7806129,232378729,227949966,312943315,1002412500,687056685,999979521,20479,599901306,998502040,1497960,303929960,70854900,2,75989980,999990016,9984,999878306,121694,75979994,1000,1000,1000,1000,1000,1000,1000,100221202843,525111000,102866,77343792,112700,4644210800,16903955,241528255,227953509,314264301,1003435800,685735699,999998504,1496,595763403,998637294,1362706,303934806,70814100,5,75990920,999990382,9618,999881103,118897,75981297,1000,1000,1000,1000,1000,1000,1000,100221155491,525200900,112932,77398268,93300,4644854600,14453514,239106814,228039177,314133801,1003584000,685866199,999998442,1558,595462441,998644364,1355636,304052236,70715700,9941,76023000,1000000000,0,999881241,118759,76013059,1000,1000,1000,1000,1000,1000,1000,100221091296,524892200,112599,77291604,108500,4642270800,21202053,245732453,227857910,312583288,1002021300,687416712,999996153,3847,601114765,998674255,1325745,303810545,70744600,9120,75961760,999999995,5,999878765,121235,75952635,1000,1000,1000,1000,1000,1000,1000
