Name,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
H2O,10000000000000,9999999999047,9999999901501,9999999807804,9999999719301,9999999636657,9999999561693,9999999494303,9999999435311,9999999382723,9999999337538,9999999298875,9999999265899,9999999238590,9999999214773,9999999195354,9999999178619,9999999164576,9999999153037,9999999143067,9999999136110,9999999129724,9999999124284,9999999119576,9999999116059,9999999113912,9999999111143,9999999109672,9999999108318,9999999106931,9999999105773,9999999104235,9999999103482,9999999102460,9999999102240,9999999101938,9999999100954,9999999100539,9999999100112,9999999100942,9999999100634,9999999101050,9999999100760,9999999100793,9999999100692,9999999100454,9999999100459,9999999099941,9999999100077,9999999100761,9999999100281,9999999099795,9999999100027,9999999100306,9999999100018,9999999099611,9999999099865,9999999099923,9999999100431,9999999100593,9999999100453,9999999100436,9999999100296,9999999100813,9999999100328,9999999100669,9999999100545,9999999100403,9999999100343,9999999101207,9999999100977,9999999101037,9999999101056,9999999100620,9999999101281,9999999101663,9999999102105,9999999101812,9999999101749,9999999101954,9999999101714,9999999101121,9999999100785,9999999100267,9999999099862,9999999100335,9999999100477,9999999099979,9999999100114,9999999100832,9999999100636,9999999100834,9999999101455,9999999101447,9999999100481,9999999099942,9999999100457,9999999100939,9999999100246,9999999100705,9999999100969
OH-,100000,100953,198499,292196,380699,463343,538307,605697,664689,717277,762462,801125,834101,861410,885227,904646,921381,935424,946963,956933,963890,970276,975716,980424,983941,986088,988857,990328,991682,993069,994227,995765,996518,997540,997760,998062,999046,999461,999888,999058,999366,998950,999240,999207,999308,999546,999541,1000059,999923,999239,999719,1000205,999973,999694,999982,1000389,1000135,1000077,999569,999407,999547,999564,999704,999187,999672,999331,999455,999597,999657,998793,999023,998963,998944,999380,998719,998337,997895,998188,998251,998046,998286,998879,999215,999733,1000138,999665,999523,1000021,999886,999168,999364,999166,998545,998553,999519,1000058,999543,999061,999754,999295,999031
H+,100000,100953,198499,292196,380699,463343,538307,605697,664689,717277,762462,801125,834101,861410,885227,904646,921381,935424,946963,956933,963890,970276,975716,980424,983941,986088,988857,990328,991682,993069,994227,995765,996518,997540,997760,998062,999046,999461,999888,999058,999366,998950,999240,999207,999308,999546,999541,1000059,999923,999239,999719,1000205,999973,999694,999982,1000389,1000135,1000077,999569,999407,999547,999564,999704,999187,999672,999331,999455,999597,999657,998793,999023,998963,998944,999380,998719,998337,997895,998188,998251,998046,998286,998879,999215,999733,1000138,999665,999523,1000021,999886,999168,999364,999166,998545,998553,999519,1000058,999543,999061,999754,999295,999031
a,1000000,999986,999026,998118,997199,996247,995270,994304,993318,992388,991380,990374,989373,988361,987427,986461,985432,984439,983476,982475,981440,980449,979510,978519,977523,976571,975571,974567,973543,972547,971594,970659,969708,968766,967790,966828,965865,964877,963886,962982,962085,961092,960150,959209,958233,957259,956273,955281,954354,953400,952415,951469,950533,949610,948668,947709,946732,945799,944847,943950,942996,942054,941170,940260,939307,938412,937435,936508,935578,934695,933801,932830,931893,930923,929971,929014,928077,927191,926332,925444,924554,923651,922701,921831,920872,919950,919014,918104,917212,916312,915389,914523,913649,912719,911812,910973,910070,909148,908252,907361,906457
b,100000,99564,55472,17124,580,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,10000,9096,5000,4764,4954,4902,4747,4955,4936,4838,4923,4978,5084,4854,4923,4961,5155,4993,4741,4968,4894,4805,5052,4817,4955,4847,4870,4977,4911,4867,4912,4967,4835,4883,4901,4927,4874,4843,5017,4829,4753,4960,4909,4866,4773,4727,4728,4646,4826,4789,4652,4740,4649,4854,4665,4589,4614,4666,4644,4696,4559,4602,4597,4735,4474,4613,4606,4469,4531,4538,4555,4454,4496,4484,4478,4419,4372,4327,4450,4295,4199,4339,4256,4180,4419,4231,4263,4135,4103,4137,4263,4008,4181,4089,3972,3991,3892,3943,4073,3916,3945
r,0,0,0,0,0,0,0,0,0,1,1,3,5,6,6,7,7,7,7,8,10,12,14,15,18,20,23,27,30,34,37,41,46,51,55,63,67,74,85,93,100,102,117,125,129,136,150,157,167,172,179,193,198,209,219,231,243,254,266,275,300,313,328,342,360,380,395,423,439,455,472,493,503,520,539,554,571,590,608,620,638,665,683,704,726,746,763,790,823,845,865,901,929,953,976,1001,1027,1050,1077,1112,1138
H2O:=C1_1,10000000000,9999999563,9999955375,9999916922,9999900290,9999899640,9999899564,9999899487,9999899410,9999899383,9999899350,9999899312,9999899261,9999899252,9999899231,9999899183,9999899152,9999899141,9999899151,9999899156,9999899148,9999899137,9999899137,9999899112,9999899105,9999899111,9999899112,9999899105,9999899106,9999899121,9999899097,9999899095,9999899102,9999899078,9999899100,9999899097,9999899088,9999899107,9999899082,9999899073,9999899072,9999899069,9999899096,9999899112,9999899118,9999899111,9999899096,9999899095,9999899087,9999899095,9999899098,9999899103,9999899072,9999899067,9999899078,9999899100,9999899079,9999899100,9999899100,9999899111,9999899130,9999899116,9999899121,9999899111,9999899119,9999899113,9999899082,9999899077,9999899075,9999899096,9999899106,9999899116,9999899093,9999899084,9999899077,9999899089,9999899102,9999899119,9999899128,9999899129,9999899133,9999899137,9999899105,9999899077,9999899059,9999899060,9999899072,9999899066,9999899087,9999899083,9999899096,9999899090,9999899088,9999899092,9999899091,9999899088,9999899084,9999899110,9999899104,9999899089,9999899082
OH-:=C1_1,100,101,197,302,390,463,536,613,690,717,750,788,839,848,869,917,948,959,949,944,952,963,963,988,995,989,988,995,994,979,1003,1005,998,1022,1000,1003,1012,993,1018,1027,1028,1031,1004,988,982,989,1004,1005,1013,1005,1002,997,1028,1033,1022,1000,1021,1000,1000,989,970,984,979,989,981,987,1018,1023,1025,1004,994,984,1007,1016,1023,1011,998,981,972,971,967,963,995,1023,1041,1040,1028,1034,1013,1017,1004,1010,1012,1008,1009,1012,1016,990,996,1011,1018
H+:=C1_1,100,101,197,302,390,463,536,613,690,717,750,788,839,848,869,917,948,959,949,944,952,963,963,988,995,989,988,995,994,979,1003,1005,998,1022,1000,1003,1012,993,1018,1027,1028,1031,1004,988,982,989,1004,1005,1013,1005,1002,997,1028,1033,1022,1000,1021,1000,1000,989,970,984,979,989,981,987,1018,1023,1025,1004,994,984,1007,1016,1023,1011,998,981,972,971,967,963,995,1023,1041,1040,1028,1034,1013,1017,1004,1010,1012,1008,1009,1012,1016,990,996,1011,1018
a:=C1_1,0,1,0,12,12,10,0,10,0,0,7,1,0,0,1,3,14,8,1,1,3,12,9,0,10,17,11,8,0,0,1,1,0,2,0,7,0,1,1,0,3,1,0,6,14,12,11,11,1,9,11,0,0,8,6,11,8,16,0,7,7,9,0,0,8,9,0,1,10,13,5,8,1,0,9,11,12,11,2,0,12,1,0,1,14,9,16,10,10,6,15,0,1,0,0,1,1,7,0,12,5
b:=C1_1,0,423,43554,81006,96631,96254,95270,94314,93318,92388,91387,90375,89373,88361,87428,86464,85446,84447,83477,82476,81443,80461,79519,78519,77533,76588,75582,74575,73543,72547,71595,70660,69708,68768,67790,66835,65865,64878,63887,62982,62088,61093,60150,59215,58247,57271,56284,55292,54355,53409,52426,51469,50533,49618,48674,47720,46740,45815,44847,43957,43003,42063,41170,40260,39315,38421,37435,36509,35588,34708,33806,32838,31894,30923,29980,29025,28089,27202,26334,25444,24566,23652,22701,21832,20886,19959,19030,18114,17222,16318,15404,14523,13650,12719,11812,10974,10071,9155,8252,7373,6462
c:=C1_1,0,904,5000,5236,5046,5096,5248,5039,5050,5144,5053,4997,4886,5113,5039,4993,4795,4953,5199,4965,5028,5110,4851,5078,4931,5029,4994,4879,4930,4962,4905,4832,4952,4892,4864,4824,4865,4873,4688,4865,4928,4706,4732,4763,4835,4850,4832,4897,4701,4711,4816,4708,4778,4541,4699,4754,4702,4629,4628,4547,4663,4597,4576,4405,4635,4469,4456,4561,4477,4447,4393,4469,4397,4377,4354,4378,4393,4399,4247,4370,4430,4262,4312,4352,4070,4222,4148,4247,4251,4178,4025,4248,4036,4091,4170,4098,4164,4069,3901,4004,3942
