Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O:=C1_2,OH-:=C1_2,H+:=C1_2,a:=C1_2,b:=C1_2,c:=C1_2,en_X:=C1_2,en_Z:=C1_2,l:=C1_2,m:=C1_2,q:=C1_2,r:=C1_2,ATP:=C1_2,ADP:=C1_2,Pi:=C1_2,mem_P1:=C1_2,mem_P2:=C1_2,mem_P6:=C1_2,H2O:=C2_1,OH-:=C2_1,H+:=C2_1,a:=C2_1,b:=C2_1,c:=C2_1,en_X:=C2_1,en_Z:=C2_1,l:=C2_1,m:=C2_1,q:=C2_1,r:=C2_1,ATP:=C2_1,ADP:=C2_1,Pi:=C2_1,mem_P1:=C2_1,mem_P2:=C2_1,mem_P6:=C2_1,H2O:=C2_2,OH-:=C2_2,H+:=C2_2,a:=C2_2,b:=C2_2,c:=C2_2,en_X:=C2_2,en_Z:=C2_2,l:=C2_2,m:=C2_2,q:=C2_2,r:=C2_2,ATP:=C2_2,ADP:=C2_2,Pi:=C2_2,mem_P1:=C2_2,mem_P2:=C2_2,mem_P6:=C2_2,H2O:=C2_3,OH-:=C2_3,H+:=C2_3,a:=C2_3,b:=C2_3,c:=C2_3,en_X:=C2_3,en_Z:=C2_3,l:=C2_3,m:=C2_3,q:=C2_3,r:=C2_3,ATP:=C2_3,ADP:=C2_3,Pi:=C2_3,mem_P1:=C2_3,mem_P2:=C2_3,mem_P6:=C2_3,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1,H2O::C1_1::M1_2,OH-::C1_1::M1_2,H+::C1_1::M1_2,l::C1_1::M1_2,m::C1_1::M1_2,n::C1_1::M1_2,q::C1_1::M1_2,en_Y::C1_1::M1_2,ATP::C1_1::M1_2,ADP::C1_1::M1_2,Pi::C1_1::M1_2,mem_P3::C1_1::M1_2,mem_P4::C1_1::M1_2,mem_P5::C1_1::M1_2,H2O::C1_2::M1_1,OH-::C1_2::M1_1,H+::C1_2::M1_1,l::C1_2::M1_1,m::C1_2::M1_1,n::C1_2::M1_1,q::C1_2::M1_1,en_Y::C1_2::M1_1,ATP::C1_2::M1_1,ADP::C1_2::M1_1,Pi::C1_2::M1_1,mem_P3::C1_2::M1_1,mem_P4::C1_2::M1_1,mem_P5::C1_2::M1_1,H2O::C1_2::M1_2,OH-::C1_2::M1_2,H+::C1_2::M1_2,l::C1_2::M1_2,m::C1_2::M1_2,n::C1_2::M1_2,q::C1_2::M1_2,en_Y::C1_2::M1_2,ATP::C1_2::M1_2,ADP::C1_2::M1_2,Pi::C1_2::M1_2,mem_P3::C1_2::M1_2,mem_P4::C1_2::M1_2,mem_P5::C1_2::M1_2,H2O::C1_1::M2_1,OH-::C1_1::M2_1,H+::C1_1::M2_1,l::C1_1::M2_1,m::C1_1::M2_1,n::C1_1::M2_1,q::C1_1::M2_1,en_Y::C1_1::M2_1,ATP::C1_1::M2_1,ADP::C1_1::M2_1,Pi::C1_1::M2_1,mem_P3::C1_1::M2_1,mem_P4::C1_1::M2_1,mem_P5::C1_1::M2_1,H2O::C1_2::M2_1,OH-::C1_2::M2_1,H+::C1_2::M2_1,l::C1_2::M2_1,m::C1_2::M2_1,n::C1_2::M2_1,q::C1_2::M2_1,en_Y::C1_2::M2_1,ATP::C1_2::M2_1,ADP::C1_2::M2_1,Pi::C1_2::M2_1,mem_P3::C1_2::M2_1,mem_P4::C1_2::M2_1,mem_P5::C1_2::M2_1,H2O::C2_1::M2_1,OH-::C2_1::M2_1,H+::C2_1::M2_1,l::C2_1::M2_1,m::C2_1::M2_1,n::C2_1::M2_1,q::C2_1::M2_1,en_Y::C2_1::M2_1,ATP::C2_1::M2_1,ADP::C2_1::M2_1,Pi::C2_1::M2_1,mem_P3::C2_1::M2_1,mem_P4::C2_1::M2_1,mem_P5::C2_1::M2_1,H2O::C2_2::M2_1,OH-::C2_2::M2_1,H+::C2_2::M2_1,l::C2_2::M2_1,m::C2_2::M2_1,n::C2_2::M2_1,q::C2_2::M2_1,en_Y::C2_2::M2_1,ATP::C2_2::M2_1,ADP::C2_2::M2_1,Pi::C2_2::M2_1,mem_P3::C2_2::M2_1,mem_P4::C2_2::M2_1,mem_P5::C2_2::M2_1,H2O::C2_3::M2_1,OH-::C2_3::M2_1,H+::C2_3::M2_1,l::C2_3::M2_1,m::C2_3::M2_1,n::C2_3::M2_1,q::C2_3::M2_1,en_Y::C2_3::M2_1,ATP::C2_3::M2_1,ADP::C2_3::M2_1,Pi::C2_3::M2_1,mem_P3::C2_3::M2_1,mem_P4::C2_3::M2_1,mem_P5::C2_3::M2_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000
100,9999999901798,198202,198202,995165,3502,0,2,9999962816,182,182,4,36153,1979,3000,2000,500,51983,96,97,9962898,10037102,10037102,1000,500,300,9999962693,207,207,12,36260,1876,3000,2000,506,52239,111,79,9962800,10037200,10037200,1000,500,300,9999992442,198,198,0,6505,1785,3000,2000,765,91130,52,25,9992540,10007460,10007460,1000,100,300,9999992583,197,197,1,6351,2111,3000,2000,768,91141,46,32,9992680,10007320,10007320,1000,100,300,9999992502,182,182,12,6423,1974,3000,2000,790,91187,48,40,9992584,10007416,10007416,1000,100,300,999999923,100,100,1,20317,99850,73,10000,999923,1000077,1000077,5000,3000,2000,999999945,98,98,3,20490,99859,84,10000,999943,1000057,1000057,5000,3000,2000,999999931,104,104,3,20330,99854,81,10000,999935,1000065,1000065,5000,3000,2000,999999931,99,99,3,20260,99852,78,10000,999930,1000070,1000070,5000,3000,2000,999999943,97,97,4,6769,99850,90,10000,999940,1000060,1000060,5000,1000,2000,999999941,103,103,0,6743,99866,78,10000,999944,1000056,1000056,5000,1000,2000,999999931,92,92,1,8681,99811,112,10000,999923,1000077,1000077,5000,1000,2000,999999919,103,103,1,8659,99800,122,10000,999922,1000078,1000078,5000,1000,2000,999999911,101,101,3,8613,99800,112,10000,999912,1000088,1000088,5000,1000,2000
200,9999999807555,292445,292445,990204,0,0,37,9999961390,281,281,1,36463,1487,3000,2000,605,26471,310,582,9961571,10038429,10038429,1000,500,300,9999961220,288,288,0,36693,1410,3000,2000,643,26481,248,536,9961408,10038592,10038592,1000,500,300,9999992080,292,292,0,5783,1506,3000,2000,1236,83043,149,297,9992272,10007728,10007728,1000,100,300,9999992256,273,273,0,5602,1829,3000,2000,1239,83078,154,309,9992429,10007571,10007571,1000,100,300,9999992139,281,281,3,5667,1714,3000,2000,1297,83185,140,293,9992320,10007680,10007680,1000,100,300,999999712,107,107,3,30927,99577,142,10000,999719,1000281,1000281,5000,3000,2000,999999693,107,107,6,31149,99538,162,10000,999700,1000300,1000300,5000,3000,2000,999999731,107,107,1,31066,99582,156,10000,999738,1000262,1000262,5000,3000,2000,999999728,93,93,2,31021,99583,138,10000,999721,1000279,1000279,5000,3000,2000,999999678,103,103,2,10103,99535,146,10000,999681,1000319,1000319,5000,1000,2000,999999747,100,100,6,10185,99588,159,10000,999747,1000253,1000253,5000,1000,2000,999999559,88,88,6,16254,99297,250,10000,999547,1000453,1000453,5000,1000,2000,999999531,101,101,0,16192,99270,262,10000,999532,1000468,1000468,5000,1000,2000,999999553,107,107,5,16104,99289,271,10000,999560,1000440,1000440,5000,1000,2000
300,9999999718542,381458,381458,985228,0,0,123,9999961292,379,379,0,35447,801,3000,2000,659,13278,536,1249,9961571,10038429,10038429,1000,500,300,9999961121,387,387,1,35680,778,3000,2000,675,13366,546,1144,9961408,10038592,10038592,1000,500,300,9999991999,373,373,5,4813,1083,3000,2000,1508,75688,281,709,9992272,10007728,10007728,1000,100,300,9999992165,364,364,1,4606,1336,3000,2000,1501,75690,261,787,9992429,10007571,10007571,1000,100,300,9999992049,371,371,1,4690,1236,3000,2000,1580,75770,258,754,9992320,10007680,10007680,1000,100,300,999999415,99,99,1,36180,99235,179,10000,999414,1000586,1000586,5000,3000,2000,999999393,111,111,2,36588,99269,135,10000,999404,1000596,1000596,5000,3000,2000,999999438,107,107,0,36421,99259,186,10000,999445,1000555,1000555,5000,3000,2000,999999453,94,94,1,36313,99291,156,10000,999447,1000553,1000553,5000,3000,2000,999999368,102,102,4,11638,99180,190,10000,999370,1000630,1000630,5000,1000,2000,999999377,107,107,0,11664,99214,170,10000,999384,1000616,1000616,5000,1000,2000,999999003,89,89,11,22916,98604,388,10000,998992,1001008,1001008,5000,1000,2000,999998931,101,101,10,22856,98546,386,10000,998932,1001068,1001068,5000,1000,2000,999998958,106,106,2,22822,98592,372,10000,998964,1001036,1001036,5000,1000,2000
400,9999999637218,462782,462782,980374,0,0,332,9999961218,453,453,7,34524,250,3000,2000,655,6772,902,1734,9961571,10038429,10038429,1000,500,300,9999961032,476,476,1,34703,252,3000,2000,683,6725,966,1627,9961408,10038592,10038592,1000,500,300,9999991901,471,471,1,3794,596,3000,2000,1703,68806,568,1167,9992272,10007728,10007728,1000,100,300,9999992085,444,444,11,3688,776,3000,2000,1619,68810,436,1309,9992429,10007571,10007571,1000,100,300,9999991991,429,429,10,3695,693,3000,2000,1737,68940,470,1264,9992320,10007680,10007680,1000,100,300,999999107,104,104,0,38656,98917,194,10000,999111,1000889,1000889,5000,3000,2000,999999105,107,107,1,39058,98949,163,10000,999112,1000888,1000888,5000,3000,2000,999999115,100,100,1,38963,98928,187,10000,999115,1000885,1000885,5000,3000,2000,999999151,96,96,0,38822,98969,178,10000,999147,1000853,1000853,5000,3000,2000,999999047,101,101,1,12266,98886,162,10000,999048,1000952,1000952,5000,1000,2000,999999068,100,100,1,12286,98899,169,10000,999068,1000932,1000932,5000,1000,2000,999998225,93,93,6,28969,97775,443,10000,998218,1001782,1001782,5000,1000,2000,999998199,98,98,3,28929,97739,458,10000,998197,1001803,1001803,5000,1000,2000,999998209,100,100,4,28816,97756,453,10000,998209,1001791,1001791,5000,1000,2000
500,9999999562512,537488,537488,975614,0,0,576,9999961127,544,544,1,33540,31,3000,2000,679,3404,1643,1890,9961571,10038429,10038429,1000,500,300,9999960955,553,553,12,33738,28,3000,2000,670,3351,1722,1784,9961408,10038592,10038592,1000,500,300,9999991822,550,550,10,2826,181,3000,2000,1815,62743,968,1549,9992272,10007728,10007728,1000,100,300,9999992005,524,524,1,2747,325,3000,2000,1720,62780,803,1716,9992429,10007571,10007571,1000,100,300,9999991905,515,515,8,2795,230,3000,2000,1757,62787,880,1690,9992320,10007680,10007680,1000,100,300,999998780,105,105,3,39800,98605,180,10000,998785,1001215,1001215,5000,3000,2000,999998793,102,102,3,40154,98634,161,10000,998795,1001205,1001205,5000,3000,2000,999998802,97,97,1,40100,98632,167,10000,998799,1001201,1001201,5000,3000,2000,999998828,96,96,0,39939,98624,200,10000,998824,1001176,1001176,5000,3000,2000,999998734,97,97,2,12440,98559,172,10000,998731,1001269,1001269,5000,1000,2000,999998723,104,104,1,12428,98562,165,10000,998727,1001273,1001273,5000,1000,2000,999997404,99,99,2,34172,96915,488,10000,997403,1002597,1002597,5000,1000,2000,999997388,91,91,1,34117,96897,482,10000,997379,1002621,1002621,5000,1000,2000,999997337,99,99,4,34089,96876,460,10000,997336,1002664,1002664,5000,1000,2000
600,9999999494981,605019,605019,970814,0,0,833,9999961064,607,607,8,32604,1,3000,2000,631,1672,2580,1869,9961571,10038429,10038429,1000,500,300,9999960888,620,620,4,32783,2,3000,2000,637,1696,2671,1757,9961408,10038592,10038592,1000,500,300,9999991755,617,617,14,1866,22,3000,2000,1874,57078,1679,1658,9992272,10007728,10007728,1000,100,300,9999991928,601,601,1,1743,61,3000,2000,1850,57107,1386,1932,9992429,10007571,10007571,1000,100,300,9999991834,586,586,16,1861,35,3000,2000,1781,57039,1551,1830,9992320,10007680,10007680,1000,100,300,999998451,108,108,3,40226,98258,201,10000,998459,1001541,1001541,5000,3000,2000,999998486,101,101,3,40544,98325,162,10000,998487,1001513,1001513,5000,3000,2000,999998482,96,96,0,40498,98304,174,10000,998478,1001522,1001522,5000,3000,2000,999998484,100,100,0,40307,98300,184,10000,998484,1001516,1001516,5000,3000,2000,999998400,98,98,5,12375,98234,164,10000,998398,1001602,1001602,5000,1000,2000,999998411,102,102,3,12330,98227,186,10000,998413,1001587,1001587,5000,1000,2000,999996532,101,101,3,38937,96015,518,10000,996533,1003467,1003467,5000,1000,2000,999996544,88,88,2,38917,96024,508,10000,996532,1003468,1003468,5000,1000,2000,999996465,105,105,1,38924,95963,507,10000,996470,1003530,1003530,5000,1000,2000
700,9999999435559,664441,664441,966144,0,0,1105,9999960967,704,704,15,31666,0,3000,2000,620,850,3517,1810,9961571,10038429,10038429,1000,500,300,9999960821,687,687,7,31821,0,3000,2000,638,845,3608,1713,9961408,10038592,10038592,1000,500,300,9999991691,681,681,10,953,1,3000,2000,1857,51908,2568,1639,9992272,10007728,10007728,1000,100,300,9999991884,645,645,3,825,3,3000,2000,1814,51834,2291,1929,9992429,10007571,10007571,1000,100,300,9999991782,638,638,1,915,2,3000,2000,1825,51885,2415,1798,9992320,10007680,10007680,1000,100,300,999998122,105,105,0,40270,97943,184,10000,998127,1001873,1001873,5000,3000,2000,999998179,106,106,1,40570,98002,183,10000,998185,1001815,1001815,5000,3000,2000,999998166,96,96,4,40530,97974,188,10000,998162,1001838,1001838,5000,3000,2000,999998188,103,103,5,40384,97996,195,10000,998191,1001809,1001809,5000,3000,2000,999998101,93,93,4,12172,97917,177,10000,998094,1001906,1001906,5000,1000,2000,999998084,99,99,4,12121,97910,173,10000,998083,1001917,1001917,5000,1000,2000,999995626,97,97,2,43176,95084,539,10000,995623,1004377,1004377,5000,1000,2000,999995582,87,87,0,43234,95068,501,10000,995569,1004431,1004431,5000,1000,2000,999995571,102,102,7,43182,95067,506,10000,995573,1004427,1004427,5000,1000,2000
800,9999999383565,716435,716435,961420,0,0,1357,9999960908,763,763,1,30704,0,3000,2000,628,422,4504,1751,9961571,10038429,10038429,1000,500,300,9999960772,736,736,0,30865,0,3000,2000,674,435,4559,1667,9961408,10038592,10038592,1000,500,300,9999991635,737,737,24,24,0,3000,2000,1891,47142,3494,1594,9992272,10007728,10007728,1000,100,300,9999991825,704,704,126,0,0,3000,2000,1769,47124,3169,1884,9992429,10007571,10007571,1000,100,300,9999991733,687,687,33,11,0,3000,2000,1822,47117,3342,1747,9992320,10007680,10007680,1000,100,300,999997787,103,103,1,40109,97599,191,10000,997790,1002210,1002210,5000,3000,2000,999997834,103,103,7,40426,97680,157,10000,997837,1002163,1002163,5000,3000,2000,999997838,96,96,3,40380,97625,209,10000,997834,1002166,1002166,5000,3000,2000,999997876,94,94,1,40258,97720,150,10000,997870,1002130,1002130,5000,3000,2000,999997795,97,97,0,11954,97632,160,10000,997792,1002208,1002208,5000,1000,2000,999997786,95,95,6,11884,97612,169,10000,997781,1002219,1002219,5000,1000,2000,999994700,96,96,1,47046,94188,508,10000,994696,1005304,1005304,5000,1000,2000,999994701,87,87,1,47075,94199,489,10000,994688,1005312,1005312,5000,1000,2000,999994641,103,103,7,47043,94160,484,10000,994644,1005356,1005356,5000,1000,2000
900,9999999338559,761441,761441,956665,0,0,1591,9999960855,816,816,0,29733,0,3000,2000,665,190,5426,1704,9961571,10038429,10038429,1000,500,300,9999960730,778,778,1,29924,0,3000,2000,697,215,5487,1617,9961408,10038592,10038592,1000,500,300,9999991610,762,762,988,0,0,3000,2000,1185,42948,4314,1554,9992272,10007728,10007728,1000,100,300,9999991786,743,743,1052,0,0,3000,2000,1041,42800,3988,1829,9992429,10007571,10007571,1000,100,300,9999991688,732,732,951,0,0,3000,2000,1126,42772,4125,1705,9992320,10007680,10007680,1000,100,300,999997460,101,101,1,39916,97299,162,10000,997461,1002539,1002539,5000,3000,2000,999997542,107,107,0,40206,97368,181,10000,997549,1002451,1002451,5000,3000,2000,999997496,101,101,1,40160,97317,180,10000,997497,1002503,1002503,5000,3000,2000,999997576,96,96,2,40043,97400,172,10000,997572,1002428,1002428,5000,3000,2000,999997493,94,94,3,11661,97306,181,10000,997487,1002513,1002513,5000,1000,2000,999997492,96,96,2,11616,97317,171,10000,997488,1002512,1002512,5000,1000,2000,999993880,96,96,0,50509,93457,419,10000,993876,1006124,1006124,5000,1000,2000,999993882,87,87,9,50679,93479,390,10000,993869,1006131,1006131,5000,1000,2000,999993862,99,99,10,50684,93456,405,10000,993861,1006139,1006139,5000,1000,2000
