Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,DHO:=Cell_1,OD-:=Cell_1,D+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,DHO::Cell_1::Mitochondria_1,DHO_created::Cell_1::Mitochondria_1,OD-::Cell_1::Mitochondria_1,D+::Cell_1::Mitochondria_1,D+_inter::Cell_1::Mitochondria_1,D+_inter_by_D+::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ATP_created_by_D+::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
10000,10620,63407,9000000,54000000,1000,6000,9997986521018,91664881,108916310,1339971746,13061,15213,87891,8989380,1000,1136,1434079,17802978,419466656,1580533344,1581879827,995576381,1004423619,11395883,99974496154,3124058,371149,2970865,22587447,25134676,13396588,208,54,362,3016,3280,52373324,53935457,14878308,4121112,624438,66,95878888,99938791,61209,194471196,49477,79782529,20217471,19832085,1983476,2262,4973016,99983023,16977,96572399,3427601,4953777,1000,1000,1000,1000,1000,1000,1000
11000,10710,63198,10000000,60000000,1000,6000,9997945534305,94626389,113643613,1339972424,12821,14775,92673,9989290,1000,1005,1418916,19793234,381743640,1618256360,1619890090,995218411,1004781589,12818673,99973199794,3587404,384598,2945771,25533851,28766612,13396187,234,60,377,3396,3720,58141978,59935797,16625243,4569384,792195,81,95430616,99938816,61184,193735702,63981,77456908,22543092,22161246,2192972,2408,5555645,99982766,17234,96240509,3759491,5536003,1000,1000,1000,1000,1000,1000,1000
12000,10840,62293,11000000,66000000,1000,6000,9997918319927,87404994,108192183,1339971479,13057,15484,97341,10989160,1000,6226,1406288,21783638,347629273,1652370727,1654310323,994857956,1005142044,14241284,99971923507,4057364,391728,2928275,28451570,32442912,13395756,268,62,346,3856,4288,63902665,65931481,18365370,5012954,977778,108,94987046,99939031,60969,192986481,80230,75143809,24856191,24481233,2400310,2422,6136066,99982219,17781,95916417,4083583,6115863,1000,1000,1000,1000,1000,1000,1000
13000,10780,62570,12000000,72000000,1000,6000,9997884880665,89637075,112194542,1339971529,12750,15741,104092,11989220,1000,1068,1394567,23770256,316762756,1683237244,1685499484,994495423,1005504577,15661314,99970702176,4533666,356274,2882039,31341177,36160628,13395397,288,74,349,4200,4752,69669385,71936362,20099410,5451945,1180236,138,94548055,99938637,61363,192224452,98507,72842958,27157042,26793091,2604365,2327,6714375,99981633,18367,95599859,4400141,6693681,1000,1000,1000,1000,1000,1000,1000
14000,10320,62776,13000000,78000000,1000,6000,9997856492297,89764812,114095715,1339971617,12487,15916,111505,12989680,1000,5623,1384063,25756350,288861040,1711138960,1713740258,994131563,1005868437,17081832,99969443247,5016444,371518,2905675,34198389,39914988,13395057,314,49,346,4568,5264,75423222,77931601,21826502,5887530,1399515,174,94112470,99938379,61621,191449551,118539,70553044,29446956,29095801,2806081,2551,7290455,99981395,18605,95292533,4707467,7269299,1000,1000,1000,1000,1000,1000,1000
15000,10580,62562,14000000,84000000,1000,6000,9997834495434,86154868,112262596,1339971541,12385,16094,118179,13989420,1000,682,1373631,27742482,263631051,1736368949,1739325265,993766000,1006234000,18503806,99968169663,5507048,414201,2950545,37048547,43726388,13394661,340,51,336,4972,5836,81183062,83936756,23549127,6319677,1634331,216,93680323,99938689,61311,190662696,140517,68274897,31725103,31392401,3004676,2466,7865045,99980695,19305,94992140,5007860,7843274,1000,1000,1000,1000,1000,1000,1000
16000,10670,63920,15000000,90000000,1000,6000,9997806695071,90745042,118628611,1339972024,11835,16161,125898,14989330,1000,6455,1361123,29726864,240812962,1759187038,1762512037,993401306,1006598694,19928078,99967003225,6004224,361842,2900897,39883739,47583584,13394308,370,50,318,5344,6364,86927328,89929625,25265854,6749304,1883961,255,93250696,99938695,61305,189864392,164001,66009257,33990743,33681247,3200092,2595,8437663,99980325,19675,94698605,5301395,8415393,1000,1000,1000,1000,1000,1000,1000
17000,10490,63595,16000000,96000000,1000,6000,9997789988348,86406515,116065763,1339971799,12172,16049,135395,15989510,1000,5917,1347024,31708230,220175234,1779824766,1783531876,993036722,1006963278,21352823,99965747754,6508182,410957,2953645,42703368,51489084,13393938,406,47,355,5680,6916,92676194,95930488,26977016,7177198,2149104,309,92822802,99938561,61439,189054253,189300,63756339,36243661,35962650,3392129,2635,9008383,99979886,20114,94411836,5588164,8985634,1000,1000,1000,1000,1000,1000,1000
18000,11020,62967,17000000,102000000,1000,6000,9997772246092,85061435,116501231,1339972282,11801,15937,144424,16988980,1000,6401,1335500,33689112,201510315,1798489685,1802591728,992668683,1007331317,22777115,99964566410,7018178,400999,2946448,45505872,55431720,13393463,446,41,328,6188,7592,98421320,101930632,28679604,7600466,2427294,351,92399534,99938629,61371,188236120,216672,61518701,38481299,38232511,3580680,2707,9576497,99979117,20883,94133825,5866175,9552907,1000,1000,1000,1000,1000,1000,1000
19000,10120,62460,18000000,108000000,1000,6000,9997757809958,82198581,115421372,1339972042,11826,16152,155158,17989880,1000,7000,1323919,35669444,184647498,1815352502,1819862169,992299288,1007700712,24202486,99963394436,7532236,389840,2954129,48281238,59401948,13393191,472,52,353,6424,8020,104164186,107930540,30377664,8021057,2718819,399,91978943,99938207,61793,187407483,245434,59290787,40709213,40496397,3766246,2841,10143039,99978535,21465,93860545,6139455,10118733,1000,1000,1000,1000,1000,1000,1000
