Mitochondoria,1,2,3,4,5,7,9,11,13,15
ATP,2.28E+08,4.51E+08,6.68E+08,8.82E+08,1.09E+09,1.51E+09,1.91E+09,2.31E+09,2.70E+09,3.08E+09
