Time,Hb,O2,Hb-O2,Hb-(O2)2,Hb-(O2)3,Hb-(O2)4
1070,3476202843,976580338675,858330006,45487541,9562203,5610417407
1080,3442437088,976423258215,850518564,45464789,11024593,5650554966
1090,3409009302,976265085584,842753044,44155437,12478370,5691603847
1100,3375900990,976107528434,835015623,44315978,10245649,5734521760
1110,3343130470,975951457763,827325963,43432938,10092118,5776018511
1120,3310685568,975799359846,819697459,43030354,11464489,5815122130
1130,3278564581,975643255132,812167621,41913763,8666419,5858687616
1140,3246748445,975495109820,804633278,41784788,10646630,5896186859
1150,3215247993,975347143512,797154898,42272572,10141702,5935182835
1160,3184053843,975200211950,789763826,42290771,10123558,5973768002
1170,3153165565,975053002629,782414602,41202576,10691411,6012525846
1180,3122584688,974906243269,775106695,40234699,10115034,6051958884
1190,3092309370,974762162414,767881183,39861474,9558437,6090389536
1200,3062327077,974622741627,760697115,40299057,10743860,6125932891
1210,3032646059,974481054282,753574746,39526152,10693504,6163559539
1220,3003263061,974341755944,746543578,39277812,10517342,6200398207
1230,2974153087,974201620862,739547268,39184997,7996716,6239117932
1240,2945353723,974066207951,732606192,38824085,9326313,6273889687
1250,2916821126,973931102223,725724582,38306749,10030475,6309117068
1260,2888571822,973796717288,718914730,38102236,9481338,6344929874
1270,2860599430,973663371452,712122213,37320526,9966041,6379991790
1280,2832902190,973529845389,705436705,36296802,9332910,6416031393
1290,2805466924,973400449268,698816975,36239417,9651813,6449824871
1300,2778309396,973271850786,692219141,36201813,9552153,6483717497
1310,2751415052,973142962429,685684003,36079834,8090544,6518730567
1320,2724787728,973018018871,679187308,36148125,9009785,6550867054
1330,2698415319,972891043347,672708064,35320368,8617143,6584939106
1340,2672294866,972765875132,666343029,35283797,7098987,6618979321
1350,2646440823,972643308935,660041153,34238790,8944604,6650334630
1360,2620841332,972520109000,653792176,34077788,7211568,6684077136
1370,2595490272,972400245164,647580737,33972997,7595871,6715360123
1380,2570378332,972281484161,641440769,33935276,7777974,6746467649
1390,2545519658,972162995413,635341077,33764836,7363878,6778010551
1400,2520913523,972046113037,629292406,33319576,7942575,6808531920
1410,2496543354,971929332563,623299765,33118682,7022488,6840015711
1420,2472404238,971814517628,617378306,32525204,7715350,6869976902
1430,2448505287,971701770340,611491579,32553135,8168185,6899281814
1440,2424847620,971587604264,605659093,32193883,6848739,6930450665
1450,2401412793,971475316451,599921522,31652494,6595725,6960417466
1460,2378208445,971364532773,594234303,30858507,7279070,6989419675
1470,2355236725,971257018866,588536689,31296112,7869675,7017060799
1480,2332484126,971148385504,582932146,30935299,7781964,7045866465
1490,2309954423,971040642174,577354475,30507185,7746687,7074437230
1500,2287650022,970933651983,571823894,29968490,7643233,7102914361
1510,2265561552,970828216355,566346261,29683039,7565286,7130843862
1520,2243686113,970723497930,560913335,30120077,5773319,7159507156
1530,2222022845,970620394270,555562718,29657106,6300524,7186456807
1540,2200564636,970517715693,550269524,28615243,7418091,7213132506
1550,2179324251,970416650486,545023406,28388111,7507042,7239757190
1560,2158284581,970316460011,539811628,27972699,7941405,7265989687
1570,2137454327,970216707795,534679112,27504489,7844173,7292517899
1580,2116830209,970117938278,529540759,27451506,7092153,7319085373
1590,2096401220,970021059468,524487273,27492380,7008009,7344611118
1600,2076172347,969924443272,519467898,27077574,7195042,7370087139
1610,2056145551,969828775646,514458571,26982930,6851869,7395561079
1620,2036304792,969733287070,509527348,26822087,5841684,7421504089
1630,2016665665,969639731575,504644048,26588557,5959657,7446142073
1640,1997218329,969547427882,499845582,26713222,5591376,7470631491
1650,1977955839,969455677620,495072092,26057818,6522352,7494391899
1660,1958877019,969365657310,490327827,25954292,7257169,7517583693
1670,1939989442,969274449880,485609774,25392240,6878310,7542130234
1680,1921289610,969184979949,480949036,25573215,5827971,7566360168
1690,1902769571,969095926983,476336207,25242629,5354820,7590296773
1700,1884438235,969008749926,471745810,24933449,5892658,7612989848
1710,1866281211,968921813489,467226030,24837899,5334757,7636320103
1720,1848295183,968836708435,462755016,24442080,6378495,7658129226
1730,1830486044,968750561160,458317476,24170943,5322670,7681702867
1740,1812853989,968666538476,453906820,23633048,6135964,7703470179
1750,1795380255,968583509959,449572549,23327130,6617032,7725103034
1760,1778088232,968499924571,445254704,23406157,4995217,7748255690
1770,1760963483,968418356527,440972468,23200702,5183787,7769679560
1780,1743990319,968336399155,436767627,22651582,4831834,7791758638
1790,1727197797,968257553932,432559816,22848530,5386236,7812007621
1800,1710568023,968177087584,428420214,22307584,4939682,7833764497
1810,1694084958,968099522418,424323023,22150573,5912371,7853529075
1820,1677773741,968021679866,420257777,22258408,5294755,7874415319
1830,1661618377,967943564138,416222338,21742402,4938812,7895478071
1840,1645624118,967868522523,412217481,22066255,5241098,7914851048
1850,1629786860,967793105956,408267436,21610220,5935768,7934399716
1860,1614098822,967716925382,404326885,21691026,4167387,7955715880
