Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3,H2O::Cell_1::Mitochondria_4,H2O_created::Cell_1::Mitochondria_4,OH-::Cell_1::Mitochondria_4,H+::Cell_1::Mitochondria_4,H+_inter::Cell_1::Mitochondria_4,H+_inter_created::Cell_1::Mitochondria_4,O2::Cell_1::Mitochondria_4,O2_in::Cell_1::Mitochondria_4,CO2::Cell_1::Mitochondria_4,ATP::Cell_1::Mitochondria_4,ATP_created::Cell_1::Mitochondria_4,ADP::Cell_1::Mitochondria_4,GDP::Cell_1::Mitochondria_4,GTP::Cell_1::Mitochondria_4,Pi::Cell_1::Mitochondria_4,NAD+::Cell_1::Mitochondria_4,NADH::Cell_1::Mitochondria_4,NADH_created::Cell_1::Mitochondria_4,NADH_in::Cell_1::Mitochondria_4,Pyruvate-::Cell_1::Mitochondria_4,Pyruvate-_in::Cell_1::Mitochondria_4,CoA-SH::Cell_1::Mitochondria_4,Acetyl_CoA::Cell_1::Mitochondria_4,FAD::Cell_1::Mitochondria_4,FADH2::Cell_1::Mitochondria_4,FADH2_created::Cell_1::Mitochondria_4,Pyruvate_transport::Cell_1::Mitochondria_4,ATP_synthase::Cell_1::Mitochondria_4,ADP_ATP_transport::Cell_1::Mitochondria_4,NADH_shuttle::Cell_1::Mitochondria_4,Pi_transport::Cell_1::Mitochondria_4,Commp1-3-4::Cell_1::Mitochondria_4,Commp2-3-4::Cell_1::Mitochondria_4,H2O::Cell_1::Mitochondria_5,H2O_created::Cell_1::Mitochondria_5,OH-::Cell_1::Mitochondria_5,H+::Cell_1::Mitochondria_5,H+_inter::Cell_1::Mitochondria_5,H+_inter_created::Cell_1::Mitochondria_5,O2::Cell_1::Mitochondria_5,O2_in::Cell_1::Mitochondria_5,CO2::Cell_1::Mitochondria_5,ATP::Cell_1::Mitochondria_5,ATP_created::Cell_1::Mitochondria_5,ADP::Cell_1::Mitochondria_5,GDP::Cell_1::Mitochondria_5,GTP::Cell_1::Mitochondria_5,Pi::Cell_1::Mitochondria_5,NAD+::Cell_1::Mitochondria_5,NADH::Cell_1::Mitochondria_5,NADH_created::Cell_1::Mitochondria_5,NADH_in::Cell_1::Mitochondria_5,Pyruvate-::Cell_1::Mitochondria_5,Pyruvate-_in::Cell_1::Mitochondria_5,CoA-SH::Cell_1::Mitochondria_5,Acetyl_CoA::Cell_1::Mitochondria_5,FAD::Cell_1::Mitochondria_5,FADH2::Cell_1::Mitochondria_5,FADH2_created::Cell_1::Mitochondria_5,Pyruvate_transport::Cell_1::Mitochondria_5,ATP_synthase::Cell_1::Mitochondria_5,ADP_ATP_transport::Cell_1::Mitochondria_5,NADH_shuttle::Cell_1::Mitochondria_5,Pi_transport::Cell_1::Mitochondria_5,Commp1-3-4::Cell_1::Mitochondria_5,Commp2-3-4::Cell_1::Mitochondria_5
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999988999898,10100231,10100231,0,0,2000,0,0,0,9999000129,10000999871,10000999871,10000000000,0,0,99999900248,0,100752,100752,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999901068,0,99932,99932,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899936,0,101064,101064,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900998,0,100002,100002,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999901097,0,99903,99903,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,94630,626235,10000000,60000000,10000,60000,9998963851133,94483926,103699968,1618,9905370,2000,61954,1055138,19807504,9272380159,10727619841,10893979341,9991844762,8155238,5666,100006802630,21942200,243693,6656630,40700,190289200,1405163,10555463,11263298,1340719,39726000,998659281,999995460,4540,1466017141,997306143,2693857,15015057,2337800,0,3759780,999991979,8021,999889841,110159,3751759,1000,1000,1000,1000,1000,1000,1000,100007342427,22407800,195136,6102933,16400,194958800,3158944,12542894,11235138,1482397,40810200,998517603,999999218,782,1465308221,997823383,2176617,14978917,2325700,0,3747580,999996199,3801,999896121,103879,3743779,1000,1000,1000,1000,1000,1000,1000,100006971411,22053400,222512,6420869,54600,191466800,2008889,11218889,11227078,1390679,40040400,998609321,999999220,780,1465667441,997493363,2506637,14969437,2323800,3960,3746320,999999999,1,999891041,108959,3742359,1000,1000,1000,1000,1000,1000,1000,100007292113,22410500,224713,5975305,199500,194949000,2699661,12082661,11250174,1392010,40876200,998607990,999999252,748,1464751442,997804168,2195832,15000232,2317100,4202,3754260,1000000000,0,999894442,105558,3750058,1000,1000,1000,1000,1000,1000,1000,100007400231,22445200,219995,5844289,210200,195380000,3506304,12911904,11200076,1350994,40941300,998649006,999996036,3964,1464928642,997904266,2095734,14930734,2342200,0,3738760,999991898,8102,999903342,96658,3730658,1000,1000,1000,1000,1000,1000,1000
3000,94340,619008,20000000,120000000,10000,60000,9998085413995,95418480,105738854,1571,19905660,2000,1,1055096,39808178,8689921475,11310078525,11710875025,9990750044,9249956,15322,100020142547,51278400,185536,9125313,38700,451402400,2419647,24222497,23278618,1497195,96007800,998502805,999998856,1144,1417528961,998785243,1214757,31038157,6109600,4180,7763720,999999999,1,999913161,86839,7759539,1000,1000,1000,1000,1000,1000,1000,100020143842,51241500,187678,8877678,227800,451126200,2867311,24657511,23249880,1318058,95562600,998681942,999992198,7802,1419368840,998832160,1167840,30999840,6087300,0,7749960,1000000000,0,999911140,88860,7749960,1000,1000,1000,1000,1000,1000,1000,100020094019,51104600,161484,9097400,11000,449885200,2290539,24020289,23204997,1422165,95643600,998577835,999996066,3934,1418050601,998792504,1207496,30939996,6081900,4421,7739420,1000000000,0,999910101,89899,7734999,1000,1000,1000,1000,1000,1000,1000,100019699679,50832000,197584,9581780,18800,447068800,1262371,22850171,23279337,1387389,94937400,998612611,999999210,790,1418664821,998356784,1643216,31039116,6123300,1,7759780,1000000000,0,999896621,103379,7759779,1000,1000,1000,1000,1000,1000,1000,100020029020,50970200,162660,8964139,226800,448674800,1959623,23630523,23158959,1307989,95263500,998692011,999999249,751,1418643060,998696601,1303399,30875999,6140800,1,7724880,999992161,7839,999911360,88640,7717040,1000,1000,1000,1000,1000,1000,1000
4000,93430,622813,30000000,180000000,10000,60000,9997263172184,95958511,106390324,1474,29906570,2000,493,1056821,59810192,8157462695,11842537305,12471599805,9990650439,9349561,25431,100032542973,79695700,176093,12538686,232400,703471400,2506587,36511587,35291935,1297500,150073200,998702500,999991322,8678,1370994822,999168987,831013,47055913,10099400,1,11763980,999999999,1,999921722,78278,11763978,1000,1000,1000,1000,1000,1000,1000,100032239272,79196600,107868,12743748,227500,698836400,1000597,34778297,35213300,1205681,148429200,998794319,999998961,1039,1374879280,998877080,1122920,46949720,10087400,0,11740460,999995960,4040,999904780,95220,11736420,1000,1000,1000,1000,1000,1000,1000,100032495807,79494700,168093,12392013,276300,701731000,3261924,37183274,35179800,1282788,149345700,998717212,999999888,112,1373087600,999230400,769600,46906400,10053900,4020,11730620,1000000000,0,999925400,74600,11726600,1000,1000,1000,1000,1000,1000,1000,100032394354,79441700,158255,12617386,222000,701133000,1859937,35750537,35233314,1367483,149272800,998632517,999991686,8314,1372840803,999065789,934211,46976511,10078400,0,11746920,999996277,3723,999917303,82697,11743197,1000,1000,1000,1000,1000,1000,1000,100032278773,79309400,151787,12937467,41900,699872400,1324649,35152999,35227140,1338746,149109600,998661254,999999266,734,1372623920,998918380,1081620,46969520,10116100,3580,11745960,1000000000,0,999910320,89680,11742380,1000,1000,1000,1000,1000,1000,1000
5000,95410,631213,40000000,240000000,10000,60000,9996493685130,94569871,104998452,11425,39904590,2000,0,1040451,79786330,7673230101,12326769899,13182607899,9990647609,9352391,35739,100044706249,107839600,122191,16407651,215300,952803200,1972510,48042760,47313060,1292217,203474700,998707783,999999197,803,1325248780,999274220,725780,63084080,14083100,3960,15774980,1000000000,0,999928080,71920,15771020,1000,1000,1000,1000,1000,1000,1000,100044173744,107068300,87316,16788135,209400,945628600,808605,46526855,47180399,1272875,201151200,998727125,999995795,4205,1330146920,998819221,1180779,62905879,14079600,1,15729440,999996041,3959,999906320,93680,15725480,1000,1000,1000,1000,1000,1000,1000,100044642474,107671300,161166,16321266,227000,951385000,2938049,48940699,47202660,1266072,202696500,998733928,999991652,8348,1327945280,999351020,648980,62936880,14051400,3900,15738120,1000000000,0,999931780,68220,15734220,1000,1000,1000,1000,1000,1000,1000,100044652942,107668300,136984,16315975,232200,951359000,2403917,48405317,47217973,1297043,202815300,998702957,999999585,415,1327319342,999330869,669131,62955931,14050500,3,15742060,999995901,4099,999927542,72458,15737958,1000,1000,1000,1000,1000,1000,1000,100044650765,107523800,65775,16365595,208600,950093200,1512806,47453156,47165160,1245367,202638900,998754633,999995447,4553,1327109780,999217120,782880,62886880,14133600,3820,15725540,1000000000,0,999921380,78620,15721720,1000,1000,1000,1000,1000,1000,1000
6000,95890,622007,50000000,300000000,10000,60000,9995769722398,93898839,104346054,1479,49904110,2000,5637,1051953,99805262,7233079037,12766920963,13847289963,9990650827,9349173,46089,100056828787,136019100,146573,20534432,30400,1202507000,1713552,59867852,59337999,1343540,256840500,998656460,999999260,740,1280233020,999367421,632579,79116079,18114600,3841,19785680,999996241,3759,999932420,67580,19778080,1000,1000,1000,1000,1000,1000,1000,100055535861,134434800,144419,21367358,221800,1187565600,515701,57934201,59165739,1146269,252765600,998853731,999999929,71,1286209760,998282521,1717479,78884979,18071700,1,19727260,999991981,8019,999878560,121440,19719240,1000,1000,1000,1000,1000,1000,1000,100056734135,135730900,146677,20242464,194800,1200001000,3153418,61187118,59191391,1293677,255816900,998706323,999999281,719,1283011504,999442413,557587,78920587,18040900,1,19733000,999996197,3803,999934304,65696,19729196,1000,1000,1000,1000,1000,1000,1000,100056859059,135757900,52224,20289620,48900,1200287800,3230953,61279203,59186217,1352947,256152000,998647053,999995008,4992,1281781761,999442444,557556,78914956,18077700,1,19728740,1000000000,0,999932661,67339,19728739,1000,1000,1000,1000,1000,1000,1000,100056636137,135588900,126246,20563240,23900,1198672200,1135582,59103982,59182815,1382576,255828300,998617424,999999637,363,1281869061,999271646,728354,78907954,18105100,3,19732540,999992602,7398,999926961,73039,19725139,1000,1000,1000,1000,1000,1000,1000
7000,96350,632107,60000000,360000000,10000,60000,9995083347985,97594933,108009117,10398,59903650,2000,5230,1035280,119786504,6833692318,13166307682,14471824582,9990677440,9322560,56344,100068797784,163950000,138316,24547472,27100,1449887200,1431339,71555539,71321076,1349802,309831300,998650198,999999602,398,1234722900,999342624,657376,95092176,22112000,4,23778880,999992224,7776,999930500,69500,23771100,1000,1000,1000,1000,1000,1000,1000,100066456938,161302500,137422,26391802,236800,1424485000,306078,69173578,71145700,1220308,303066900,998779692,999999928,72,1243794820,997231020,2768980,94859580,22076900,4260,23722200,999995940,4060,999853620,146380,23713880,1000,1000,1000,1000,1000,1000,1000,100068852728,163775600,69292,24095751,216200,1448419200,2839867,72894117,71195259,1273918,309044400,998726082,999999958,42,1237249240,999494281,505719,94924419,22022700,1,23736940,999992221,7779,999937940,62060,23729160,1000,1000,1000,1000,1000,1000,1000,100068884603,163839000,133277,24300135,18900,1449077200,3914866,74002316,71165898,1304411,309384900,998695589,999999971,29,1236429860,999541462,458538,94885238,22084100,2,23727220,999992122,7878,999944760,55240,23719340,1000,1000,1000,1000,1000,1000,1000,100068864352,163748800,63748,24152525,212500,1448230400,1691313,71737113,71172637,1283720,309300000,998716280,999999620,380,1235853200,999428363,571637,94894137,22111900,3,23729640,999991863,8137,999935700,64300,23721500,1000,1000,1000,1000,1000,1000,1000
8000,93610,643206,70000000,420000000,10000,60000,9994439960835,96287438,106737950,10925,69906390,2000,52,1037982,139790930,6473929473,13526070527,15058267027,9990654178,9345822,66708,100080106822,191135400,60218,28924598,256600,1690132400,448706,82190056,83320500,1098679,361030500,998901321,999998959,1041,1191034880,998655080,1344920,111092720,26082200,0,27776060,999996160,3840,999880480,119520,27772220,1000,1000,1000,1000,1000,1000,1000,100078993637,189752500,51552,30076282,22300,1676947400,217701,81307851,83140333,1375909,357323100,998624091,999999172,828,1197164363,997669230,2330770,110852370,26086500,1,27716260,999995778,4222,999860163,139837,27712037,1000,1000,1000,1000,1000,1000,1000,100080920842,191884400,56358,28043316,216800,1697350400,3528713,85627563,83225278,1310532,362365200,998689468,999999632,368,1191446900,999545022,454978,110965778,26000200,4502,27748780,999996222,3778,999946200,53800,27740500,1000,1000,1000,1000,1000,1000,1000,100080909150,191797900,109316,28230668,43400,1696765400,4248839,86321939,83132814,1356825,362504400,998643175,999999247,753,1190580222,999548908,451092,110842392,26103200,2,27713660,999995920,4080,999942122,57878,27709578,1000,1000,1000,1000,1000,1000,1000,100080840695,191799600,128945,28351463,33600,1696722400,1839133,83909333,83175618,1337837,362383200,998662163,999999317,683,1191093680,999475362,524638,110899538,26106300,3702,27731480,999996142,3858,999935280,64720,27723920,1000,1000,1000,1000,1000,1000,1000
9000,96480,630849,80000000,480000000,10000,60000,9993828955960,96618707,107061567,10827,79903520,2000,0,1031974,159785386,6151952567,13848047433,15609168233,9990666126,9333874,77012,100092157929,219294300,130280,32925968,225000,1939613400,425272,94239322,95340891,1503631,414457800,998496369,999991734,8266,1145321903,998759612,1240388,127121188,30081100,3,31780300,1000000000,0,999885903,114097,31780297,1000,1000,1000,1000,1000,1000,1000,100092481080,219325000,126200,32605400,42500,1940308400,924046,94777696,95101020,1431906,413959500,998568094,999995766,4234,1149061860,999182640,817360,126801360,30105600,4000,31704340,1000000000,0,999917360,82640,31700340,1000,1000,1000,1000,1000,1000,1000,100092885702,219917200,108858,32099576,224300,1945672000,2414159,96529009,95244498,1310581,415444500,998689419,999999201,799,1146354820,999538722,461278,126989878,30013600,2,31753740,999991642,8358,999942120,57880,31745380,1000,1000,1000,1000,1000,1000,1000,100093009021,219825600,32179,31966359,209300,1945039200,4329210,98415960,95133300,1279948,415558500,998720052,999999648,352,1145413700,999571200,428800,126844400,30105800,3580,31714680,1000000000,0,999941000,59000,31711100,1000,1000,1000,1000,1000,1000,1000,100092837888,219708300,48810,32311190,19600,1943862200,1379314,95407164,95170006,1332063,415269900,998667937,999999029,971,1145854166,999441360,558640,126893340,30068400,2,31723340,999999996,4,999929266,70734,31723334,1000,1000,1000,1000,1000,1000,1000
